epoch,train_loss,val_loss,L_TaskA_acc,L_TaskB_acc,R_TaskA_acc,R_TaskB_acc
1,10.208034662864812,3.7890346116489835,0.47840337620841134,0.5278363195184159,0.47710129287507796,0.5269801551348543
2,8.107124794057718,3.345286764204502,0.5313996647795042,0.6117074995824735,0.5340038314461708,0.6125636639660352
3,7.466550633557251,3.149911791086197,0.5439864703350596,0.6814848968427475,0.5457225814461708,0.6801018625089567
4,7.170261222937126,3.095210445423921,0.5400802203350596,0.6998924310893229,0.539646192557282,0.7011766776646653
5,6.954727762787369,3.0139934114283986,0.5518438696033425,0.7028890064317886,0.547069564047787,0.7054574995824735
6,6.833622541767323,2.9802401670151286,0.5462015084922314,0.7068405347327663,0.5514098418255647,0.7063136639660352
7,6.7319247459557445,2.9826815219389067,0.5496737307144536,0.7081247813081089,0.5471593629982736,0.7064124525409855
8,6.655716143101842,2.94102217670944,0.553101053668393,0.7102651922670129,0.564819803668393,0.7081247813081089
9,6.594707278144764,2.9605043455958366,0.540993175158898,0.7098371100752321,0.5544929355382919,0.7106932744587937
10,6.545990369715554,2.9048677244120173,0.5557501196033425,0.7094090278834513,0.5557501196033425,0.707696699116328
11,6.486131645098238,2.9238475172056093,0.5461566092239486,0.7106932744587937,0.5479376196033425,0.7085528634998897
12,6.419726797645761,2.9089734272824392,0.5501077584922314,0.7098371100752321,0.5544480362700092,0.7085528634998897
13,6.381189665516804,2.9141498713029756,0.5553160918255647,0.7089809456916705,0.5622605362700092,0.7085528634998897
14,6.351170408943236,2.908076389796204,0.5549269633160697,0.7081247813081089,0.5566630744271808,0.707696699116328
15,6.342487074829618,2.8871950482328734,0.5545827349026998,0.7111213566505745,0.5545827349026998,0.7085528634998897
