epoch,train_loss_A,train_loss_B,val_loss_A,val_loss_B,acc_A_taskA,acc_B_taskA,acc_A_taskB,acc_B_taskB
1,3.0601663710894407,2.9991109757511705,2.716176324420505,2.6803668869866266,0.2673611111111111,0.2743055555555556,,
2,2.4542778962188296,2.458493482183527,2.416183869043986,2.460411707560221,0.3090277777777778,0.3090277777777778,,
3,2.1829897043881594,2.14684999872137,2.2638991938696966,2.1711820363998413,0.3576388888888889,0.3888888888888889,,
4,1.9014335401632168,1.9645248850186665,2.266053650114271,2.508601943651835,0.3680555555555556,0.3194444444444444,,
5,1.7968643362875338,1.882982169036512,2.3846163617240057,2.3168677621417575,0.3263888888888889,0.3645833333333333,,
6,1.6808184197655431,1.6973862487960745,2.2823020617167153,2.22111796008216,0.3715277777777778,0.3993055555555556,,
7,1.5850094280861042,1.7515721723989204,1.9764947361416287,2.2231148878733316,0.4340277777777778,0.4270833333333333,,
8,1.5596800711419847,1.543215246664153,1.94221740298801,2.1014532115724354,0.4548611111111111,0.4583333333333333,,
9,1.338335732894915,1.4223590689124885,2.0574927594926624,2.3207340902752347,0.4305555555555556,0.4027777777777778,,
10,1.2343666125778798,1.4716347058614094,2.326628645261129,2.157521473036872,0.4479166666666667,0.4409722222222222,,
